This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
peak height of primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	0.442525
0.550000	0.442525
1.100000	0.442525
1.650000	0.442525
2.200000	0.442525
2.750000	0.442525
3.300000	0.442525
3.850000	0.427266
4.400000	0.412006
4.950000	0.412006
5.500000	0.412006
6.050000	0.442525
6.600000	0.473044
7.150000	0.518823
7.700000	0.549342
8.250000	0.564601
8.800000	0.564601
9.350000	0.564601
9.900000	0.549342
10.450000	0.534082
11.000000	0.503563
11.550000	0.488304
12.100000	0.488304
12.650000	0.488304
13.200000	0.488304
13.750000	0.488304
14.300000	0.518823
14.850000	0.564601
15.400000	0.625639
15.950000	0.671417
16.500000	0.686677
17.050000	0.671417
17.600000	0.656158
18.150000	0.595120
18.700000	0.595120
19.250000	0.595120
19.800000	0.595120
20.350000	0.610380
20.900000	0.625639
21.450000	0.656158
22.000000	0.640898
22.550000	0.640898
23.100000	0.610380
23.650000	0.595120
24.200000	0.595120
24.750000	0.579861
25.300000	0.579861
25.850000	0.549342
26.400000	0.534082
26.950000	0.503563
27.500000	0.503563
28.050000	0.503563
28.600000	0.457785
29.150000	0.442525
29.700000	0.412006
30.250000	0.396747
30.800000	0.381487
31.350000	0.381487
31.900000	0.412006
32.450000	0.412006
33.000000	0.427266
33.550000	0.488304
