This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	44.993603
0.550000	45.037369
1.100000	45.088223
1.650000	45.482277
2.200000	45.503803
2.750000	45.494816
3.300000	44.984116
3.850000	43.730137
4.400000	42.562584
4.950000	40.720825
5.500000	40.032658
6.050000	39.685123
6.600000	39.658428
7.150000	39.623665
7.700000	39.998379
8.250000	40.042374
8.800000	40.160301
9.350000	40.338997
9.900000	40.586445
10.450000	40.818451
11.000000	40.772312
11.550000	40.625149
12.100000	40.451351
12.650000	40.285683
13.200000	40.262024
13.750000	40.246826
14.300000	40.537193
14.850000	41.475422
15.400000	41.736710
15.950000	42.016655
16.500000	42.280872
17.050000	42.865524
17.600000	43.586189
18.150000	43.845875
18.700000	43.923393
19.250000	43.806488
19.800000	43.540352
20.350000	43.276405
20.900000	43.417377
21.450000	43.729046
22.000000	43.824543
22.550000	43.918045
23.100000	43.932289
23.650000	43.754036
24.200000	43.376663
24.750000	42.878517
25.300000	42.311420
25.850000	42.268032
26.400000	42.299637
26.950000	42.402138
27.500000	42.498238
28.050000	43.295444
28.600000	44.197407
29.150000	45.228428
29.700000	45.539886
30.250000	45.589401
30.800000	45.574696
31.350000	45.217407
31.900000	44.274097
32.450000	43.466202
33.000000	42.446777
33.550000	41.258663
