This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	44.861198
0.550000	44.928005
1.100000	45.019104
1.650000	45.435123
2.200000	45.480675
2.750000	45.480675
3.300000	44.858162
3.850000	43.543301
4.400000	42.334717
4.950000	39.865929
5.500000	39.058186
6.050000	38.821327
6.600000	38.821327
7.150000	38.800072
7.700000	39.161430
8.250000	39.118916
8.800000	39.167503
9.350000	39.343628
9.900000	39.714100
10.450000	40.093678
11.000000	40.081532
11.550000	40.060276
12.100000	40.060276
12.650000	40.066349
13.200000	40.278912
13.750000	40.245510
14.300000	40.634201
14.850000	42.088749
15.400000	42.538170
15.950000	42.951153
16.500000	43.227489
17.050000	43.950207
17.600000	44.551464
18.150000	44.946224
18.700000	45.040359
19.250000	45.055546
19.800000	45.016068
20.350000	44.991776
20.900000	45.283291
21.450000	45.790409
22.000000	45.884548
22.550000	45.884548
23.100000	45.814705
23.650000	45.389576
24.200000	44.897640
24.750000	44.217434
25.300000	43.427906
25.850000	43.370209
26.400000	43.113613
26.950000	43.122726
27.500000	43.133354
28.050000	43.704239
28.600000	44.379894
29.150000	45.340988
29.700000	45.614285
30.250000	45.614285
30.800000	45.623394
31.350000	45.224079
31.900000	44.214397
32.450000	43.449162
33.000000	41.879219
33.550000	41.264305
