This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	112.021606
0.550000	155.982483
1.100000	199.953308
1.650000	291.332794
2.200000	406.384308
2.750000	534.008179
3.300000	644.268555
3.850000	742.673035
4.400000	833.649536
4.950000	979.487610
5.500000	1070.583496
6.050000	1165.873535
6.600000	1237.018921
7.150000	1276.392578
7.700000	1292.492310
8.250000	1330.497925
8.800000	1349.682251
9.350000	1350.194702
9.900000	1344.687134
10.450000	1303.432861
11.000000	1234.088501
11.550000	1156.594727
12.100000	1098.081421
12.650000	1059.503784
13.200000	1028.383911
13.750000	875.819336
14.300000	842.848694
14.850000	826.848450
15.400000	782.738342
15.950000	722.334412
16.500000	648.129272
17.050000	567.361877
17.600000	522.137329
18.150000	496.500122
18.700000	479.280945
19.250000	468.872833
19.800000	465.559357
20.350000	465.375275
20.900000	470.116638
21.450000	474.375397
22.000000	476.066986
22.550000	471.370392
23.100000	453.215881
23.650000	439.807709
24.200000	426.086121
24.750000	416.105865
25.300000	408.941559
25.850000	410.001282
26.400000	408.589569
26.950000	410.240295
27.500000	414.463318
28.050000	424.175964
28.600000	436.244751
29.150000	452.756927
29.700000	478.738068
30.250000	487.168518
30.800000	497.503784
31.350000	499.015808
31.900000	460.507019
32.450000	441.554108
33.000000	430.152924
33.550000	412.149139
