This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
peak height of primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	3.662277
0.550000	3.647017
1.100000	3.616498
1.650000	3.540201
2.200000	3.402866
2.750000	3.204492
3.300000	3.006119
3.850000	2.746708
4.400000	2.517815
4.950000	2.243145
5.500000	2.029512
6.050000	1.846398
6.600000	1.632765
7.150000	1.449651
7.700000	1.327575
8.250000	1.251278
8.800000	1.251278
9.350000	1.327575
9.900000	1.525949
10.450000	1.663284
11.000000	1.754841
11.550000	1.754841
12.100000	1.754841
12.650000	1.739582
13.200000	1.663284
13.750000	1.571727
14.300000	1.449651
14.850000	1.327575
15.400000	1.190240
15.950000	1.068164
16.500000	0.976607
17.050000	0.900310
17.600000	0.991867
18.150000	1.022386
18.700000	1.052905
19.250000	1.052905
19.800000	1.052905
20.350000	1.068164
20.900000	1.068164
21.450000	1.068164
22.000000	1.052905
22.550000	1.037645
23.100000	1.007126
23.650000	0.976607
24.200000	0.915569
24.750000	0.915569
25.300000	0.900310
25.850000	0.900310
26.400000	0.885050
26.950000	0.854531
27.500000	0.854531
28.050000	0.839272
28.600000	0.808753
29.150000	0.778234
29.700000	0.762974
30.250000	0.732455
30.800000	0.717196
31.350000	0.701936
31.900000	0.671417
32.450000	0.671417
33.000000	0.671417
33.550000	0.656158
