This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	146.491074
0.550000	148.123840
1.100000	148.123840
1.650000	148.123840
2.200000	81.012619
2.750000	81.012619
3.300000	49.486519
3.850000	48.525169
4.400000	30.061190
4.950000	25.925869
5.500000	22.721376
6.050000	22.416187
6.600000	22.416187
7.150000	23.789541
7.700000	23.789541
8.250000	23.789541
8.800000	21.653214
9.350000	20.890238
9.900000	18.311384
10.450000	15.381563
11.000000	14.343919
11.550000	12.756931
12.100000	10.727420
12.650000	9.567698
13.200000	8.407978
13.750000	7.416111
14.300000	6.592099
14.850000	6.500542
15.400000	6.927807
15.950000	7.019364
16.500000	7.019364
17.050000	7.019364
17.600000	7.126181
18.150000	7.248257
18.700000	7.690782
19.250000	8.011231
19.800000	8.850503
20.350000	9.155692
20.900000	9.842369
21.450000	10.544306
22.000000	11.261502
22.550000	11.841362
23.100000	13.062121
23.650000	13.062121
24.200000	13.062121
24.750000	12.512780
25.300000	11.337799
25.850000	11.337799
26.400000	11.520913
26.950000	11.520913
27.500000	11.520913
28.050000	10.818976
28.600000	10.803718
29.150000	10.803718
29.700000	11.154685
30.250000	11.307281
30.800000	11.307281
31.350000	11.154685
31.900000	11.581951
32.450000	11.597211
33.000000	12.024476
33.550000	12.024476
