This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	1.373050
0.550000	1.352325
1.100000	1.332206
1.650000	1.287187
2.200000	1.233969
2.750000	1.190544
3.300000	1.125330
3.850000	1.045389
4.400000	1.010391
4.950000	0.996498
5.500000	0.936447
6.050000	0.880647
6.600000	0.815434
7.150000	0.764113
7.700000	0.692978
8.250000	0.665648
8.800000	0.589578
9.350000	0.556706
9.900000	0.547140
10.450000	0.537195
11.000000	0.506448
11.550000	0.471222
12.100000	0.432276
12.650000	0.397354
13.200000	0.384068
13.750000	0.379969
14.300000	0.375414
14.850000	0.372529
15.400000	0.373060
15.950000	0.380045
16.500000	0.389534
17.050000	0.396291
17.600000	0.399176
18.150000	0.386270
18.700000	0.371011
19.250000	0.360458
19.800000	0.354688
20.350000	0.349070
20.900000	0.346717
21.450000	0.341327
22.000000	0.341327
22.550000	0.342693
23.100000	0.343680
23.650000	0.348767
24.200000	0.354005
24.750000	0.360458
25.300000	0.357497
25.850000	0.357801
26.400000	0.358201
26.950000	0.345611
27.500000	0.339483
28.050000	0.340537
28.600000	0.344519
29.150000	0.343897
29.700000	0.347251
30.250000	0.347896
30.800000	0.354463
31.350000	0.355846
31.900000	0.380336
32.450000	0.393374
33.000000	0.406237
33.550000	0.417093
