This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	4.000198
0.550000	10.000595
1.100000	7.999451
1.650000	6.001343
2.200000	6.001343
2.750000	6.001343
3.300000	6.001343
3.850000	6.001343
4.400000	7.999451
4.950000	7.999451
5.500000	7.999451
6.050000	4.999252
6.600000	4.999252
7.150000	4.999252
7.700000	4.999252
8.250000	4.999252
8.800000	4.999252
9.350000	4.999252
9.900000	4.999252
10.450000	4.999252
11.000000	4.999252
11.550000	13.000793
12.100000	13.000793
12.650000	13.000793
13.200000	13.000793
13.750000	11.998703
14.300000	11.998703
14.850000	3.001144
15.400000	3.001144
15.950000	3.001144
16.500000	3.001144
17.050000	3.001144
17.600000	3.001144
18.150000	3.001144
18.700000	4.000198
19.250000	4.000198
19.800000	4.000198
20.350000	4.000198
20.900000	4.000198
21.450000	4.000198
22.000000	3.001144
22.550000	3.001144
23.100000	3.001144
23.650000	3.001144
24.200000	3.001144
24.750000	3.001144
25.300000	3.001144
25.850000	3.001144
26.400000	3.001144
26.950000	3.001144
27.500000	3.001144
28.050000	3.001144
28.600000	1.999054
29.150000	1.999054
29.700000	1.999054
30.250000	3.001144
30.800000	3.001144
31.350000	3.001144
31.900000	10.999649
32.450000	1.999054
33.000000	1.999054
33.550000	1.999054
