This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
center-of-mass of frequency spectrum	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	38.144157
0.550000	37.876934
1.100000	37.609707
1.650000	37.451801
2.200000	37.451801
2.750000	37.451801
3.300000	37.606670
3.850000	37.624889
4.400000	37.624889
4.950000	37.624889
5.500000	38.186668
6.050000	38.544994
6.600000	37.861748
7.150000	37.278713
7.700000	36.622799
8.250000	36.194633
8.800000	36.139977
9.350000	36.057987
9.900000	36.030655
10.450000	35.972961
11.000000	35.972961
11.550000	35.972961
12.100000	36.832329
12.650000	37.558086
13.200000	38.135048
13.750000	37.946774
14.300000	37.044895
14.850000	35.453693
15.400000	34.794746
15.950000	34.794746
16.500000	34.794746
17.050000	34.794746
17.600000	34.794746
18.150000	35.192543
18.700000	35.824165
19.250000	36.146049
19.800000	36.422382
20.350000	36.422382
20.900000	36.422382
21.450000	36.021545
22.000000	35.556942
22.550000	35.505318
23.100000	35.505318
23.650000	35.499245
24.200000	35.268459
24.750000	35.268459
25.300000	35.268459
25.850000	35.280605
26.400000	35.280605
26.950000	35.623745
27.500000	36.012436
28.050000	36.829292
28.600000	40.597759
29.150000	40.597759
29.700000	41.113987
30.250000	41.885296
30.800000	42.137337
31.350000	42.838799
31.900000	43.670837
32.450000	43.941097
33.000000	41.657547
33.550000	41.657547
