This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Y_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	16.686712
0.550000	16.266253
1.100000	15.918036
1.650000	15.547415
2.200000	15.629540
2.750000	16.268820
3.300000	18.393259
3.850000	18.214203
4.400000	17.731619
4.950000	18.025129
5.500000	18.348478
6.050000	20.995007
6.600000	21.109207
7.150000	20.113945
7.700000	20.034464
8.250000	20.342901
8.800000	21.129345
9.350000	22.656925
9.900000	21.562450
10.450000	23.055027
11.000000	22.249125
11.550000	22.169416
12.100000	24.398203
12.650000	24.930552
13.200000	25.224062
13.750000	24.537479
14.300000	24.691608
14.850000	24.437876
15.400000	24.318449
15.950000	23.746262
16.500000	24.119421
17.050000	24.487564
17.600000	25.149235
18.150000	27.253654
18.700000	26.388031
19.250000	25.771126
19.800000	26.895437
20.350000	26.169062
20.900000	24.751177
21.450000	24.149199
22.000000	24.751192
22.550000	25.024837
23.100000	25.009895
23.650000	24.144243
24.200000	23.626776
24.750000	23.074501
25.300000	19.977417
25.850000	19.848110
26.400000	17.604099
26.950000	18.148880
27.500000	18.064486
28.050000	17.279726
28.600000	14.964540
29.150000	14.875251
29.700000	14.949050
30.250000	14.664810
30.800000	15.504281
31.350000	12.934958
31.900000	12.707958
32.450000	9.600303
33.000000	9.335793
33.550000	7.631873
