This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	61.000931
0.550000	80.001221
1.100000	97.001480
1.650000	138.002106
2.200000	187.002853
2.750000	210.003204
3.300000	238.003632
3.850000	255.003891
4.400000	275.004211
4.950000	283.004333
5.500000	290.004425
6.050000	310.004730
6.600000	328.005005
7.150000	338.005157
7.700000	346.005280
8.250000	354.005402
8.800000	365.005585
9.350000	365.005585
9.900000	365.005585
10.450000	349.005341
11.000000	331.005066
11.550000	299.004578
12.100000	264.004028
12.650000	244.003723
13.200000	230.003510
13.750000	223.003403
14.300000	214.003265
14.850000	212.003235
15.400000	212.003235
15.950000	212.003235
16.500000	215.003281
17.050000	223.003403
17.600000	238.003632
18.150000	253.003860
18.700000	253.003860
19.250000	267.004089
19.800000	272.004150
20.350000	278.004242
20.900000	282.004303
21.450000	282.004303
22.000000	296.004517
22.550000	296.004517
23.100000	299.004578
23.650000	299.004578
24.200000	297.004547
24.750000	294.004486
25.300000	284.004333
25.850000	275.004211
26.400000	275.004211
26.950000	274.004181
27.500000	274.004181
28.050000	276.004211
28.600000	299.004578
29.150000	299.004578
29.700000	348.005310
30.250000	403.006165
30.800000	436.006653
31.350000	456.006958
31.900000	405.006195
32.450000	379.005798
33.000000	347.005310
33.550000	347.005310
