This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
peak height of secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	0.412006
0.550000	0.396747
1.100000	0.381487
1.650000	0.381487
2.200000	0.350968
2.750000	0.335709
3.300000	0.320449
3.850000	0.305190
4.400000	0.289930
4.950000	0.274671
5.500000	0.259411
6.050000	0.244152
6.600000	0.213633
7.150000	0.198373
7.700000	0.183114
8.250000	0.183114
8.800000	0.167854
9.350000	0.167854
9.900000	0.167854
10.450000	0.167854
11.000000	0.167854
11.550000	0.183114
12.100000	0.198373
12.650000	0.213633
13.200000	0.228892
13.750000	0.228892
14.300000	0.228892
14.850000	0.228892
15.400000	0.228892
15.950000	0.228892
16.500000	0.228892
17.050000	0.259411
17.600000	0.274671
18.150000	0.274671
18.700000	0.259411
19.250000	0.259411
19.800000	0.259411
20.350000	0.259411
20.900000	0.259411
21.450000	0.244152
22.000000	0.244152
22.550000	0.244152
23.100000	0.244152
23.650000	0.244152
24.200000	0.228892
24.750000	0.228892
25.300000	0.228892
25.850000	0.228892
26.400000	0.213633
26.950000	0.213633
27.500000	0.213633
28.050000	0.213633
28.600000	0.244152
29.150000	0.259411
29.700000	0.305190
30.250000	0.320449
30.800000	0.305190
31.350000	0.305190
31.900000	0.305190
32.450000	0.320449
33.000000	0.320449
33.550000	0.350968
