This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	137.350647
0.550000	142.508362
1.100000	142.508362
1.650000	142.508362
2.200000	74.054291
2.750000	74.054291
3.300000	42.970718
3.850000	40.254528
4.400000	24.048952
4.950000	21.531137
5.500000	18.402943
6.050000	16.541285
6.600000	14.557551
7.150000	13.291014
7.700000	12.863748
8.250000	12.054996
8.800000	11.047869
9.350000	9.643996
9.900000	8.484275
10.450000	7.980712
11.000000	7.629744
11.550000	7.599225
12.100000	7.355073
12.650000	7.004105
13.200000	6.592099
13.750000	6.195352
14.300000	5.905422
14.850000	5.768086
15.400000	5.691789
15.950000	5.630751
16.500000	5.630751
17.050000	5.646010
17.600000	5.981719
18.150000	6.149573
18.700000	6.393725
19.250000	6.729434
19.800000	7.599225
20.350000	8.011231
20.900000	8.728427
21.450000	9.399844
22.000000	10.254375
22.550000	10.880014
23.100000	11.673508
23.650000	11.673508
24.200000	11.520913
24.750000	11.292021
25.300000	10.406971
25.850000	10.406971
26.400000	10.590084
26.950000	10.498528
27.500000	10.078892
28.050000	8.499535
28.600000	8.575832
29.150000	8.621611
29.700000	8.881021
30.250000	9.048876
30.800000	9.201471
31.350000	9.140432
31.900000	9.979705
32.450000	10.300154
33.000000	10.757938
33.550000	8.964949
