This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	34.725552
0.550000	41.439739
1.100000	42.268169
1.650000	49.587070
2.200000	47.333355
2.750000	42.694187
3.300000	32.156601
3.850000	27.196669
4.400000	20.062124
4.950000	18.534924
5.500000	17.609655
6.050000	20.166882
6.600000	23.393301
7.150000	26.154512
7.700000	34.582497
8.250000	39.801285
8.800000	44.378254
9.350000	44.442837
9.900000	43.621979
10.450000	43.418056
11.000000	41.119579
11.550000	45.666859
12.100000	45.632023
12.650000	46.124592
13.200000	46.025078
13.750000	46.358429
14.300000	47.562386
14.850000	42.199066
15.400000	38.671715
15.950000	31.452660
16.500000	28.472162
17.050000	28.273285
17.600000	26.163652
18.150000	26.069260
18.700000	26.412777
19.250000	27.711386
19.800000	22.925478
20.350000	19.233486
20.900000	20.720638
21.450000	21.163412
22.000000	21.098736
22.550000	21.029045
23.100000	21.019073
23.650000	21.053867
24.200000	24.099207
24.750000	23.029585
25.300000	23.119188
25.850000	22.825737
26.400000	47.379379
26.950000	47.297005
27.500000	48.644295
28.050000	44.002052
28.600000	42.187042
29.150000	46.493706
29.700000	43.397285
30.250000	44.523296
30.800000	30.015749
31.350000	31.475775
31.900000	28.424395
32.450000	27.199793
33.000000	24.810650
33.550000	22.058723
