This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	170.002594
0.550000	241.003677
1.100000	312.004761
1.650000	463.007080
2.200000	632.009644
2.750000	845.012878
3.300000	1022.015625
3.850000	1184.018066
4.400000	1337.020386
4.950000	1612.024658
5.500000	1764.026978
6.050000	1904.029053
6.600000	2016.030762
7.150000	2057.031494
7.700000	2057.031494
8.250000	2104.032227
8.800000	2104.032227
9.350000	2104.032227
9.900000	2061.031494
10.450000	1960.029907
11.000000	1811.027588
11.550000	1611.024536
12.100000	1496.022827
12.650000	1418.021606
13.200000	1369.020874
13.750000	1156.017700
14.300000	1090.016602
14.850000	1090.016602
15.400000	1045.015991
15.950000	972.014832
16.500000	875.013367
17.050000	757.011536
17.600000	685.010437
18.150000	648.009888
18.700000	604.009216
19.250000	557.008484
19.800000	552.008423
20.350000	548.008362
20.900000	576.008789
21.450000	576.008789
22.000000	577.008789
22.550000	577.008789
23.100000	577.008789
23.650000	559.008545
24.200000	536.008179
24.750000	518.007935
25.300000	513.007812
25.850000	513.007812
26.400000	513.007812
26.950000	523.007996
27.500000	543.008301
28.050000	554.008484
28.600000	554.008484
29.150000	554.008484
29.700000	554.008484
30.250000	551.008423
30.800000	551.008423
31.350000	525.007996
31.900000	519.007935
32.450000	504.007690
33.000000	504.007690
33.550000	462.007050
