This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	40.115162
0.550000	39.898335
1.100000	39.682899
1.650000	39.525417
2.200000	39.453129
2.750000	39.464565
3.300000	39.490807
3.850000	39.510643
4.400000	39.572224
4.950000	39.627895
5.500000	39.815456
6.050000	39.864902
6.600000	39.675030
7.150000	39.475910
7.700000	39.277836
8.250000	39.480701
8.800000	39.440769
9.350000	39.543335
9.900000	40.370010
10.450000	40.733456
11.000000	40.932728
11.550000	41.373886
12.100000	41.915585
12.650000	42.296268
13.200000	42.586441
13.750000	42.698238
14.300000	42.701378
14.850000	42.442947
15.400000	42.446545
15.950000	42.715187
16.500000	43.003353
17.050000	43.173767
17.600000	43.216778
18.150000	43.361584
18.700000	43.131027
19.250000	42.852200
19.800000	42.454250
20.350000	42.199337
20.900000	41.941662
21.450000	41.783348
22.000000	41.741695
22.550000	41.771187
23.100000	42.468208
23.650000	43.101490
24.200000	43.766121
24.750000	43.783783
25.300000	43.783947
25.850000	43.740604
26.400000	43.665031
26.950000	42.673820
27.500000	41.902927
28.050000	41.642208
28.600000	41.644623
29.150000	41.621864
29.700000	41.793182
30.250000	42.426651
30.800000	43.242764
31.350000	44.123196
31.900000	44.289768
32.450000	44.319462
33.000000	43.185532
33.550000	42.075302
