This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	115.001755
0.550000	159.002426
1.100000	201.003067
1.650000	293.004486
2.200000	413.006317
2.750000	549.008362
3.300000	667.010193
3.850000	768.011719
4.400000	857.013062
4.950000	1054.016113
5.500000	1156.017700
6.050000	1247.019043
6.600000	1311.020020
7.150000	1324.020264
7.700000	1324.020264
8.250000	1363.020752
8.800000	1408.021484
9.350000	1409.021484
9.900000	1409.021484
10.450000	1383.021118
11.000000	1357.020752
11.550000	1331.020264
12.100000	1243.018921
12.650000	1223.018677
13.200000	1223.018677
13.750000	1030.015747
14.300000	1012.015442
14.850000	1012.015442
15.400000	962.014709
15.950000	885.013489
16.500000	782.011963
17.050000	664.010132
17.600000	589.008972
18.150000	546.008362
18.700000	520.007935
19.250000	498.007599
19.800000	494.007538
20.350000	494.007538
20.900000	495.007568
21.450000	500.007629
22.000000	499.007629
22.550000	496.007568
23.100000	468.007141
23.650000	452.006897
24.200000	439.006714
24.750000	436.006653
25.300000	435.006653
25.850000	433.006622
26.400000	432.006592
26.950000	441.506744
27.500000	438.506714
28.050000	445.006805
28.600000	448.006836
29.150000	464.007080
29.700000	494.007538
30.250000	502.007660
30.800000	506.007721
31.350000	507.007751
31.900000	459.507019
32.450000	445.006805
33.000000	430.506592
33.550000	406.506226
