This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	29.300999
0.550000	29.169577
1.100000	29.047930
1.650000	27.927425
2.200000	27.005104
2.750000	26.369871
3.300000	27.231506
3.850000	26.645149
4.400000	26.149723
4.950000	25.941494
5.500000	25.271334
6.050000	24.587004
6.600000	23.807192
7.150000	23.807192
7.700000	23.842588
8.250000	39.835804
8.800000	39.927963
9.350000	40.120010
9.900000	40.124634
10.450000	40.133957
11.000000	40.302963
11.550000	40.362095
12.100000	41.137074
12.650000	41.355000
13.200000	41.508118
13.750000	41.808609
14.300000	41.916626
14.850000	42.124676
15.400000	42.149876
15.950000	42.170845
16.500000	31.000971
17.050000	30.989912
17.600000	30.988312
18.150000	30.610952
18.700000	30.753056
19.250000	30.916264
19.800000	30.940874
20.350000	31.081587
20.900000	31.140596
21.450000	31.083218
22.000000	31.216347
22.550000	31.299046
23.100000	31.264601
23.650000	31.355049
24.200000	30.974216
24.750000	26.949055
25.300000	27.005903
25.850000	27.131599
26.400000	27.416742
26.950000	27.643251
27.500000	27.773777
28.050000	28.316566
28.600000	28.605227
29.150000	28.747280
29.700000	28.994650
30.250000	29.206638
30.800000	29.344999
31.350000	29.490211
31.900000	29.710983
32.450000	30.132099
33.000000	30.273153
33.550000	30.522556
