This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	62.999039
0.550000	62.999039
1.100000	62.999039
1.650000	62.999039
2.200000	99.001419
2.750000	99.001419
3.300000	99.001419
3.850000	99.001419
4.400000	99.001419
4.950000	99.001419
5.500000	99.001419
6.050000	99.001419
6.600000	99.001419
7.150000	84.000427
7.700000	84.000427
8.250000	84.000427
8.800000	84.000427
9.350000	84.000427
9.900000	94.000076
10.450000	94.000076
11.000000	94.000076
11.550000	94.000076
12.100000	97.999329
12.650000	97.999329
13.200000	97.999329
13.750000	97.999329
14.300000	100.000473
14.850000	100.000473
15.400000	100.000473
15.950000	100.000473
16.500000	100.000473
17.050000	77.000977
17.600000	77.000977
18.150000	77.000977
18.700000	77.000977
19.250000	68.999435
19.800000	68.999435
20.350000	68.999435
20.900000	68.999435
21.450000	48.001083
22.000000	48.001083
22.550000	67.001328
23.100000	96.001221
23.650000	96.001221
24.200000	96.001221
24.750000	96.001221
25.300000	96.001221
25.850000	97.000275
26.400000	97.000275
26.950000	97.000275
27.500000	97.000275
28.050000	97.000275
28.600000	97.000275
29.150000	97.000275
29.700000	54.499489
30.250000	54.499489
30.800000	40.998596
31.350000	40.998596
31.900000	40.998596
32.450000	36.501335
33.000000	32.001038
33.550000	21.500343
