This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	199.003036
0.550000	278.004242
1.100000	356.005432
1.650000	544.008301
2.200000	819.012512
2.750000	1108.016968
3.300000	1431.021851
3.850000	1710.026123
4.400000	2004.030640
4.950000	2196.033447
5.500000	2469.037598
6.050000	2706.041260
6.600000	2890.044189
7.150000	3037.046387
7.700000	3219.049072
8.250000	3219.049072
8.800000	3219.049072
9.350000	3145.048096
9.900000	2992.045654
10.450000	2763.042236
11.000000	2503.038086
11.550000	2226.033936
12.100000	2009.030640
12.650000	1813.027710
13.200000	1679.025635
13.750000	1679.025635
14.300000	1739.026489
14.850000	1940.029663
15.400000	2041.031128
15.950000	2112.032227
16.500000	2112.032227
17.050000	2112.032227
17.600000	2045.031250
18.150000	1947.029663
18.700000	1825.027832
19.250000	1686.025757
19.800000	1543.023560
20.350000	1388.021240
20.900000	1239.018921
21.450000	1120.017090
22.000000	1129.017212
22.550000	1177.017944
23.100000	1212.018555
23.650000	1236.018921
24.200000	1257.019165
24.750000	1262.019287
25.300000	1287.019653
25.850000	1287.019653
26.400000	1287.019653
26.950000	1287.019653
27.500000	1281.019531
28.050000	1263.019287
28.600000	1251.019043
29.150000	1206.018433
29.700000	1081.016479
30.250000	1065.016235
30.800000	1046.015991
31.350000	1023.015625
31.900000	981.014954
32.450000	981.014954
33.000000	981.014954
33.550000	981.014954
