This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	100.000473
0.550000	100.000473
1.100000	100.000473
1.650000	100.000473
2.200000	100.000473
2.750000	100.000473
3.300000	97.000275
3.850000	97.000275
4.400000	71.999634
4.950000	55.000534
5.500000	55.000534
6.050000	61.000931
6.600000	61.000931
7.150000	84.000427
7.700000	84.000427
8.250000	90.999878
8.800000	90.999878
9.350000	91.998932
9.900000	91.998932
10.450000	91.998932
11.000000	91.998932
11.550000	85.998535
12.100000	85.998535
12.650000	74.000778
13.200000	74.000778
13.750000	97.999329
14.300000	97.999329
14.850000	97.999329
15.400000	74.000778
15.950000	74.000778
16.500000	74.000778
17.050000	71.000580
17.600000	71.000580
18.150000	71.000580
18.700000	71.000580
19.250000	71.000580
19.800000	71.000580
20.350000	71.000580
20.900000	71.000580
21.450000	71.000580
22.000000	71.000580
22.550000	71.000580
23.100000	39.999542
23.650000	39.999542
24.200000	39.999542
24.750000	39.999542
25.300000	39.999542
25.850000	39.999542
26.400000	69.998489
26.950000	69.998489
27.500000	69.998489
28.050000	69.998489
28.600000	84.000427
29.150000	84.000427
29.700000	84.000427
30.250000	84.000427
30.800000	48.001083
31.350000	48.001083
31.900000	48.001083
32.450000	48.001083
33.000000	48.001083
33.550000	32.499046
