This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	17.000046
0.550000	17.000046
1.100000	17.000046
1.650000	17.000046
2.200000	17.000046
2.750000	17.000046
3.300000	17.000046
3.850000	17.000046
4.400000	17.000046
4.950000	17.000046
5.500000	17.000046
6.050000	17.000046
6.600000	17.000046
7.150000	17.000046
7.700000	17.000046
8.250000	17.000046
8.800000	17.000046
9.350000	17.000046
9.900000	17.000046
10.450000	17.000046
11.000000	17.000046
11.550000	17.000046
12.100000	17.000046
12.650000	17.000046
13.200000	17.000046
13.750000	17.000046
14.300000	29.999893
14.850000	29.999893
15.400000	29.999893
15.950000	29.999893
16.500000	29.999893
17.050000	29.999893
17.600000	29.999893
18.150000	29.999893
18.700000	29.999893
19.250000	29.999893
19.800000	29.999893
20.350000	23.999496
20.900000	17.000046
21.450000	17.000046
22.000000	17.000046
22.550000	17.000046
23.100000	17.000046
23.650000	17.000046
24.200000	17.000046
24.750000	38.001434
25.300000	38.001434
25.850000	38.001434
26.400000	26.000641
26.950000	13.000793
27.500000	8.500496
28.050000	7.000397
28.600000	7.000397
29.150000	67.001328
29.700000	96.001221
30.250000	96.001221
30.800000	96.001221
31.350000	96.001221
31.900000	96.001221
32.450000	96.001221
33.000000	53.500435
33.550000	49.000137
