This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
peak height of primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	1.815879
0.550000	1.846398
1.100000	1.846398
1.650000	1.846398
2.200000	1.846398
2.750000	1.785360
3.300000	1.693803
3.850000	1.541208
4.400000	1.434392
4.950000	1.327575
5.500000	1.236019
6.050000	1.190240
6.600000	1.129202
7.150000	1.113943
7.700000	1.083424
8.250000	1.083424
8.800000	1.083424
9.350000	1.113943
9.900000	1.205500
10.450000	1.205500
11.000000	1.205500
11.550000	1.174981
12.100000	1.113943
12.650000	1.068164
13.200000	1.007126
13.750000	0.961348
14.300000	0.930829
14.850000	0.900310
15.400000	0.839272
15.950000	0.762974
16.500000	0.793493
17.050000	0.808753
17.600000	0.793493
18.150000	0.824012
18.700000	0.824012
19.250000	0.839272
19.800000	0.854531
20.350000	0.854531
20.900000	0.869791
21.450000	0.869791
22.000000	0.869791
22.550000	0.854531
23.100000	0.824012
23.650000	0.793493
24.200000	0.778234
24.750000	0.747715
25.300000	0.747715
25.850000	0.701936
26.400000	0.671417
26.950000	0.671417
27.500000	0.671417
28.050000	0.656158
28.600000	0.640898
29.150000	0.610380
29.700000	0.595120
30.250000	0.564601
30.800000	0.534082
31.350000	0.526452
31.900000	0.534082
32.450000	0.549342
33.000000	0.564601
33.550000	0.595120
