This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	2.045303
0.550000	2.046897
1.100000	2.041203
1.650000	2.022527
2.200000	1.986315
2.750000	1.908347
3.300000	1.808059
3.850000	1.664878
4.400000	1.543258
4.950000	1.419512
5.500000	1.329170
6.050000	1.259477
6.600000	1.187507
7.150000	1.119105
7.700000	1.060421
8.250000	1.034760
8.800000	1.027320
9.350000	1.042808
9.900000	1.108021
10.450000	1.131556
11.000000	1.143551
11.550000	1.128822
12.100000	1.108325
12.650000	1.073478
13.200000	1.033470
13.750000	0.998699
14.300000	0.961044
14.850000	0.932499
15.400000	0.891959
15.950000	0.845042
16.500000	0.814143
17.050000	0.803135
17.600000	0.807386
18.150000	0.807462
18.700000	0.814523
19.250000	0.818243
19.800000	0.824316
20.350000	0.834565
20.900000	0.844738
21.450000	0.850508
22.000000	0.849748
22.550000	0.834185
23.100000	0.811941
23.650000	0.785826
24.200000	0.758040
24.750000	0.746197
25.300000	0.745969
25.850000	0.705884
26.400000	0.686597
26.950000	0.673284
27.500000	0.667480
28.050000	0.659348
28.600000	0.639445
29.150000	0.617544
29.700000	0.591012
30.250000	0.559890
30.800000	0.537926
31.350000	0.529579
31.900000	0.531491
32.450000	0.544201
33.000000	0.562368
33.550000	0.592577
