This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	18.552372
0.550000	19.146708
1.100000	19.840828
1.650000	19.895578
2.200000	20.437883
2.750000	22.015001
3.300000	23.781191
3.850000	25.512527
4.400000	25.741379
4.950000	26.457783
5.500000	27.199162
6.050000	27.915596
6.600000	27.597202
7.150000	28.880795
7.700000	26.840929
8.250000	26.512579
8.800000	25.845879
9.350000	27.547106
9.900000	30.333153
10.450000	30.935177
11.000000	31.253557
11.550000	33.696388
12.100000	30.238745
12.650000	32.552181
13.200000	30.785959
13.750000	29.168987
14.300000	30.198936
14.850000	31.064650
15.400000	28.333443
15.950000	28.607346
16.500000	32.741795
17.050000	32.721916
17.600000	33.015442
18.150000	31.861200
18.700000	29.164726
19.250000	26.771721
19.800000	28.906054
20.350000	27.846312
20.900000	26.134827
21.450000	21.985466
22.000000	13.841142
22.550000	14.239228
23.100000	19.139833
23.650000	26.418549
24.200000	49.587933
24.750000	62.612720
25.300000	69.930855
25.850000	68.833885
26.400000	65.753113
26.950000	52.489590
27.500000	35.112709
28.050000	21.044624
28.600000	16.969534
29.150000	15.697457
29.700000	15.063313
30.250000	19.834900
30.800000	21.083490
31.350000	20.638958
31.900000	19.622612
32.450000	17.989447
33.000000	14.993717
33.550000	12.678331
