This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
peak height of secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	2.288923
0.550000	2.258404
1.100000	2.212626
1.650000	2.136328
2.200000	2.044771
2.750000	1.983733
3.300000	1.861658
3.850000	1.709063
4.400000	1.617506
4.950000	1.617506
5.500000	1.495430
6.050000	1.373354
6.600000	1.236019
7.150000	1.113943
7.700000	0.946088
8.250000	0.885050
8.800000	0.824012
9.350000	0.717196
9.900000	0.717196
10.450000	0.717196
11.000000	0.686677
11.550000	0.640898
12.100000	0.564601
12.650000	0.503563
13.200000	0.488304
13.750000	0.457785
14.300000	0.442525
14.850000	0.442525
15.400000	0.442525
15.950000	0.457785
16.500000	0.503563
17.050000	0.503563
17.600000	0.503563
18.150000	0.488304
18.700000	0.473044
19.250000	0.442525
19.800000	0.427266
20.350000	0.427266
20.900000	0.427266
21.450000	0.427266
22.000000	0.442525
22.550000	0.442525
23.100000	0.457785
23.650000	0.457785
24.200000	0.457785
24.750000	0.457785
25.300000	0.427266
25.850000	0.427266
26.400000	0.427266
26.950000	0.412006
27.500000	0.427266
28.050000	0.427266
28.600000	0.427266
29.150000	0.412006
29.700000	0.412006
30.250000	0.396747
30.800000	0.396747
31.350000	0.396747
31.900000	0.427266
32.450000	0.457785
33.000000	0.473044
33.550000	0.473044
