This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Curv_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	39.468132
0.550000	39.264675
1.100000	39.091587
1.650000	38.973160
2.200000	38.860802
2.750000	38.860802
3.300000	38.863838
3.850000	38.863838
4.400000	38.891171
4.950000	38.964050
5.500000	39.015671
6.050000	39.003525
6.600000	38.976196
7.150000	38.964050
7.700000	38.991379
8.250000	39.565304
8.800000	39.583523
9.350000	39.738392
9.900000	40.943935
10.450000	41.502678
11.000000	41.775974
11.550000	42.204140
12.100000	42.683929
12.650000	43.112095
13.200000	43.476494
13.750000	43.664764
14.300000	43.816597
14.850000	43.764973
15.400000	43.956280
15.950000	44.423923
16.500000	44.888531
17.050000	45.177010
17.600000	45.177010
18.150000	45.177010
18.700000	44.748844
19.250000	44.308533
19.800000	43.768009
20.350000	43.412724
20.900000	43.057438
21.450000	42.942043
22.000000	42.942043
22.550000	42.951153
23.100000	43.673874
23.650000	44.335861
24.200000	44.973557
24.750000	44.973557
25.300000	44.973557
25.850000	44.915859
26.400000	44.458847
26.950000	43.147018
27.500000	42.169220
28.050000	41.642365
28.600000	41.581631
29.150000	41.592258
29.700000	41.722836
30.250000	42.422779
30.800000	43.276073
31.350000	44.290310
31.900000	44.332825
32.450000	44.354080
33.000000	42.390896
33.550000	42.090267
