This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	37.477154
0.550000	40.855255
1.100000	40.477127
1.650000	36.399632
2.200000	32.135994
2.750000	27.469225
3.300000	16.430290
3.850000	12.285779
4.400000	8.765514
4.950000	8.461987
5.500000	8.596188
6.050000	8.760257
6.600000	10.223101
7.150000	11.666093
7.700000	12.924983
8.250000	19.895216
8.800000	26.487289
9.350000	27.741087
9.900000	35.517494
10.450000	32.059792
11.000000	30.910734
11.550000	25.203924
12.100000	19.681322
12.650000	17.506937
13.200000	13.482063
13.750000	12.278044
14.300000	11.994367
14.850000	12.029160
15.400000	12.039146
15.950000	12.820635
16.500000	13.149180
17.050000	13.119358
17.600000	13.119358
18.150000	12.751140
18.700000	12.646625
19.250000	12.318079
19.800000	12.323050
20.350000	14.084571
20.900000	16.333693
21.450000	16.562498
22.000000	16.572439
22.550000	16.204220
23.100000	15.477783
23.650000	15.318549
24.200000	11.964725
24.750000	11.606448
25.300000	11.606448
25.850000	11.576534
26.400000	11.369139
26.950000	11.531320
27.500000	11.483258
28.050000	11.253543
28.600000	10.707445
29.150000	10.578334
29.700000	10.229803
30.250000	9.817867
30.800000	8.945398
31.350000	8.711891
31.900000	8.668629
32.450000	8.714563
33.000000	8.669548
33.550000	8.546552
