This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter X_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	29.929991
0.550000	27.415049
1.100000	25.723703
1.650000	23.629284
2.200000	23.554651
2.750000	26.345791
3.300000	26.005007
3.850000	25.741257
4.400000	21.830671
4.950000	23.566647
5.500000	24.024319
6.050000	24.586430
6.600000	24.412329
7.150000	24.322937
7.700000	23.467525
8.250000	23.333174
8.800000	21.208780
9.350000	21.890287
9.900000	22.726042
10.450000	23.472330
11.000000	23.457418
11.550000	23.671343
12.100000	25.079315
12.650000	25.825603
13.200000	25.601738
13.750000	29.969873
14.300000	31.148981
14.850000	30.029579
15.400000	30.064404
15.950000	29.686258
16.500000	29.054426
17.050000	27.895216
17.600000	28.009642
18.150000	27.571821
18.700000	27.467337
19.250000	27.347940
19.800000	27.238516
20.350000	26.780830
20.900000	28.745989
21.450000	28.666431
22.000000	28.402742
22.550000	28.571903
23.100000	29.253454
23.650000	29.462408
24.200000	29.333057
24.750000	27.273325
25.300000	28.422609
25.850000	26.775875
26.400000	26.656096
26.950000	26.305775
27.500000	25.212307
28.050000	29.553730
28.600000	27.157637
29.150000	26.972403
29.700000	23.756390
30.250000	17.114155
30.800000	17.557419
31.350000	16.459076
31.900000	16.424603
32.450000	15.473703
33.000000	13.134147
33.550000	7.952528
