This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	125.001907
0.550000	173.002640
1.100000	222.003387
1.650000	314.004791
2.200000	437.006683
2.750000	585.008911
3.300000	731.011169
3.850000	853.013000
4.400000	972.014832
4.950000	1091.016602
5.500000	1270.019409
6.050000	1458.022217
6.600000	1599.024414
7.150000	1711.026123
7.700000	1800.027466
8.250000	1816.027710
8.800000	1816.027710
9.350000	1816.027710
9.900000	1764.026978
10.450000	1700.026001
11.000000	1665.025391
11.550000	1628.024902
12.100000	1618.024658
12.650000	1511.023071
13.200000	1488.022705
13.750000	1488.022705
14.300000	1494.022827
14.850000	1499.022827
15.400000	1499.022827
15.950000	1488.022705
16.500000	1411.021484
17.050000	1333.020386
17.600000	1261.019287
18.150000	1201.018311
18.700000	1142.017456
19.250000	1101.016846
19.800000	1033.015747
20.350000	957.014587
20.900000	929.014160
21.450000	969.014771
22.000000	963.014709
22.550000	940.014343
23.100000	967.014771
23.650000	995.015198
24.200000	1011.015442
24.750000	1011.015442
25.300000	1039.015869
25.850000	1040.015869
26.400000	1049.515991
26.950000	1043.015869
27.500000	1014.015503
28.050000	963.014709
28.600000	946.014404
29.150000	884.013489
29.700000	846.012939
30.250000	831.012695
30.800000	797.012146
31.350000	793.512085
31.900000	822.012573
32.450000	828.012634
33.000000	856.013062
33.550000	938.014282
