This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Y_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	42.545105
0.550000	42.334068
1.100000	42.124660
1.650000	41.696690
2.200000	40.782253
2.750000	40.751797
3.300000	40.177479
3.850000	39.796692
4.400000	39.607273
4.950000	39.568794
5.500000	39.713856
6.050000	39.883442
6.600000	40.076077
7.150000	40.236446
7.700000	40.246944
8.250000	39.768501
8.800000	39.237015
9.350000	38.783859
9.900000	38.588909
10.450000	38.416168
11.000000	38.304417
11.550000	38.340027
12.100000	38.522076
12.650000	38.677410
13.200000	38.700722
13.750000	38.635502
14.300000	38.603687
14.850000	38.460724
15.400000	38.317276
15.950000	38.165428
16.500000	38.050079
17.050000	37.979980
17.600000	37.939705
18.150000	37.929901
18.700000	37.975510
19.250000	37.962246
19.800000	37.957336
20.350000	37.928722
20.900000	37.832275
21.450000	37.746780
22.000000	37.688465
22.550000	37.619663
23.100000	37.530212
23.650000	37.494785
24.200000	37.390404
24.750000	37.331139
25.300000	37.202377
25.850000	37.196259
26.400000	37.146763
26.950000	37.087616
27.500000	37.022625
28.050000	37.004715
28.600000	37.005524
29.150000	37.034081
29.700000	37.122269
30.250000	37.101406
30.800000	37.269489
31.350000	37.339870
31.900000	37.456844
32.450000	37.402256
33.000000	37.158581
33.550000	36.642105
