This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	131.753250
0.550000	181.958008
1.100000	232.187622
1.650000	333.522522
2.200000	473.156494
2.750000	632.178833
3.300000	799.181335
3.850000	954.293152
4.400000	1116.609131
4.950000	1253.969360
5.500000	1423.738159
6.050000	1580.267944
6.600000	1717.369507
7.150000	1833.585205
7.700000	1944.557007
8.250000	1968.567383
8.800000	1972.084839
9.350000	1966.651855
9.900000	1913.253052
10.450000	1833.515503
11.000000	1734.708008
11.550000	1629.960205
12.100000	1552.342041
12.650000	1443.992188
13.200000	1386.837036
13.750000	1370.583130
14.300000	1366.010864
14.850000	1403.001465
15.400000	1406.175659
15.950000	1389.414185
16.500000	1360.528198
17.050000	1314.751465
17.600000	1262.676025
18.150000	1214.108032
18.700000	1170.256714
19.250000	1132.032227
19.800000	1088.772827
20.350000	1043.767212
20.900000	997.099792
21.450000	966.497314
22.000000	950.148804
22.550000	945.536804
23.100000	951.830444
23.650000	969.537170
24.200000	979.283630
24.750000	987.850891
25.300000	1020.284241
25.850000	1024.423584
26.400000	1029.661499
26.950000	1031.701904
27.500000	1014.246643
28.050000	975.964050
28.600000	952.705017
29.150000	903.233276
29.700000	864.231140
30.250000	837.536255
30.800000	812.745239
31.350000	805.643433
31.900000	798.568787
32.450000	821.433594
33.000000	852.037415
33.550000	912.156799
