This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter cAng_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	11.024138
0.550000	11.178478
1.100000	11.153581
1.650000	10.626112
2.200000	9.889629
2.750000	10.436934
3.300000	10.083687
3.850000	10.078747
4.400000	9.954441
4.950000	9.720711
5.500000	9.501877
6.050000	9.223307
6.600000	8.402357
7.150000	8.103845
7.700000	8.098874
8.250000	8.098874
8.800000	8.113800
9.350000	8.158595
9.900000	8.173521
10.450000	8.178492
11.000000	8.213284
11.550000	8.203238
12.100000	8.218149
12.650000	8.228090
13.200000	8.267853
13.750000	8.730103
14.300000	8.730103
14.850000	8.814599
15.400000	8.889155
15.950000	8.973653
16.500000	8.978623
17.050000	8.978623
17.600000	8.953771
18.150000	8.904067
18.700000	8.879214
19.250000	8.819570
19.800000	8.784777
20.350000	8.754954
20.900000	8.630693
21.450000	8.531285
22.000000	8.446788
22.550000	8.411995
23.100000	8.382173
23.650000	8.337440
24.200000	8.337440
24.750000	8.337440
25.300000	8.362291
25.850000	8.372232
26.400000	8.400113
26.950000	8.413952
27.500000	8.456008
28.050000	8.496156
28.600000	8.528711
29.150000	8.547712
29.700000	8.601445
30.250000	8.669957
30.800000	8.784989
31.350000	8.847046
31.900000	8.965531
32.450000	8.998505
33.000000	8.998505
33.550000	8.998505
