Frequencies for trace parameter:	Th2D
Analyzed image:	\Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725_f.tif

t [frame]	Primary freq.	Amplitude of primary freq. peak in FFT	Secondary freq.	Amplitude of secondary freq. peak in FFT	COM freq.
0-200	3.0	2407.921364190872	31.0	2240.1368396926446	26.196963081850154
1-201	3.0	2425.320141914654	31.0	2153.2515966440005	26.323236370865178
2-202	3.0	2431.790225795494	31.0	2013.64248593225	26.234121649023596
3-203	3.0	2436.899629906311	31.0	1913.0071210353658	25.78199325551698
4-204	3.0	2439.710041996222	15.0	1955.495616025178	25.996145100018836
5-205	3.0	2435.0202459652282	31.0	2109.496120567634	25.8137420605127
6-206	3.0	2426.4918993953816	31.0	2198.605376585472	25.607270281528812
7-207	3.0	2413.250481210077	5.0	2187.5960640646394	25.635185461750083
8-208	3.0	2391.517321655827	5.0	2330.7590542869902	25.536798560238903
9-209	5.0	2424.9095897255233	3.0	2368.0430628612576	25.657693568348133
10-210	5.0	2464.822481664609	10.0	2358.0131650004896	25.40725204017812
11-211	5.0	2544.209147505807	10.0	2391.6959632192857	25.51202341287339
12-212	5.0	2593.3407944314295	10.0	2383.9509815658575	25.468680634430715
13-213	5.0	2654.588611902149	10.0	2345.485722676496	25.50515547637925
14-214	5.0	2718.434512388023	10.0	2247.185413512862	25.50515533704702
15-215	5.0	2749.50339194651	10.0	2123.5423977342107	25.515903980499683
16-216	5.0	2760.969461828309	3.0	2027.4955293400797	25.61430262547715
17-217	5.0	2764.6032865788316	15.0	2114.1080273209695	25.38807324273994
18-218	5.0	2746.419277159741	15.0	2136.0290465927205	25.475756677665924
19-219	5.0	2708.6608113581665	31.0	2248.852355972432	25.351707600376272
20-220	5.0	2661.477519645264	31.0	2208.4422066580732	25.4008740506665
21-221	5.0	2612.1324570618917	31.0	2075.741287054713	25.473590254564314
22-222	4.0	2547.387896662848	31.0	1877.213788961274	25.450931768454197
23-223	4.0	2661.8516662321945	31.0	1903.0064210721948	25.37523324675583
24-224	4.0	2725.7349666069313	31.0	2027.114347911163	25.127575754783358
25-225	4.0	2822.396452538782	31.0	2163.002043154183	25.061577909474263
26-226	4.0	2954.389899216804	31.0	2256.308345314218	25.451449921727338
27-227	4.0	3063.5215766868437	10.0	2121.8352766124326	24.992175654802246
28-228	4.0	3131.1398808294994	10.0	2254.5610829341954	24.98013310454091
29-229	4.0	3212.43559775238	10.0	2401.1655187322203	24.748266447239825
30-230	4.0	3249.256411980199	10.0	2452.7027786175204	25.021481654656647
31-231	4.0	3258.6595094993063	10.0	2452.554027734041	24.63963819375278
32-232	4.0	3277.0770758721546	10.0	2445.7388235668477	24.611409739027373
33-233	4.0	3274.3406159248825	10.0	2410.78676812901	24.6594397418437
34-234	4.0	3269.4226511472584	10.0	2350.250629025572	24.607516283225074
35-235	4.0	3255.7928899692392	10.0	2302.976330397686	24.726563945993963
36-236	4.0	3238.0696798061485	10.0	2244.9247341931814	24.681195962990202
37-237	4.0	3198.0609179313965	10.0	2133.3072548593327	24.707131803986154
38-238	4.0	3146.0195883286315	31.0	2148.090315280465	24.81045006700266
39-239	4.0	3057.339409382857	31.0	2192.4824476199487	24.639413816547446
40-240	4.0	2938.4911009218267	31.0	2082.336482202664	24.838120780061086
41-241	4.0	2763.604024618784	15.0	2223.0633237982843	24.476022025154748
42-242	4.0	2601.3261920038008	15.0	2427.071432999622	24.356484228161115
43-243	15.0	2593.489187017977	4.0	2467.345051001912	24.731431176192874
44-244	15.0	2711.9609798147862	4.0	2268.559132078827	24.402188636813868
45-245	15.0	2734.884271186496	10.0	2423.607019441585	24.479507870315004
46-246	15.0	2708.5817131217345	10.0	2439.732404960057	24.05583966826521
47-247	15.0	2650.003892734539	10.0	2531.817239795864	24.01814320810258
48-248	10.0	2713.070942006521	15.0	2444.8092225569467	24.351851955018954
49-249	10.0	2842.863666663916	5.0	2418.874985799494	24.393209264171784
50-250	10.0	2895.9388078174534	5.0	2605.8574226964624	24.154169279977303
51-251	10.0	2882.4499984229637	5.0	2701.118720184307	24.101261132686986
52-252	10.0	2873.975052185563	5.0	2731.55521588146	24.20795826674596
53-253	10.0	2834.530983779752	5.0	2762.423701402037	24.057554653717016
54-254	5.0	2839.7916527347384	10.0	2706.1070464068994	24.069372653394133
55-255	5.0	2878.2039177046418	10.0	2572.5773109871598	24.340658127411757
56-256	5.0	2876.1916497530865	10.0	2529.067268228456	23.988180333949007
57-257	5.0	2872.443205515387	10.0	2527.0361923596215	23.964603615464533
58-258	5.0	2846.025401174564	10.0	2509.634073922141	24.25883376751981
59-259	5.0	2832.0100204984533	10.0	2534.7178147544123	24.13834049189063
60-260	5.0	2833.5378623840725	10.0	2529.854820207153	24.081627054379407
61-261	5.0	2729.1484991809652	10.0	2485.238479018248	24.56323449991193
62-262	10.0	2582.261640675681	5.0	2571.622995186867	24.010542631092445
63-263	10.0	2641.414470760665	5.0	2515.7552031739833	23.93145770329974
64-264	10.0	2639.936088803043	5.0	2510.6701684922923	24.056799562749788
65-265	10.0	2864.3952209190957	5.0	2310.109631206786	23.948934218289185
66-266	10.0	3041.606172659702	5.0	2142.032990056168	23.960432483592385
67-267	10.0	3205.1343748546533	15.0	2065.987091422227	24.07295567714277
68-268	10.0	3388.275400367687	15.0	2300.210681447536	23.92952948656499
69-269	10.0	3449.294926572898	15.0	2395.907992184176	23.64670892008066
70-270	10.0	3483.411738038517	15.0	2452.9075812042197	23.81101467527307
71-271	10.0	3494.6748578809197	15.0	2481.8425529329365	23.665778191707446
72-272	10.0	3463.6696952348466	15.0	2447.6657892346493	23.763203002050382
73-273	10.0	3376.6486396221676	4.0	2441.9616623316215	23.99827514299919
74-274	10.0	3194.485170166949	4.0	2675.247479119155	23.763246557357505
75-275	10.0	3024.4641946787838	4.0	2827.993956389852	23.892932279804697
76-276	4.0	2906.7099590044268	10.0	2899.813408803924	23.427764186276228
77-277	4.0	3012.8285233775855	10.0	2740.0851490325467	23.28171031994212
78-278	4.0	2956.9467893987066	10.0	2833.737455190259	23.42865956178945
79-279	4.0	3031.589947577148	10.0	2698.553601406315	23.764808071416724
80-280	4.0	3196.0211606438256	10.0	2469.01060360794	24.049549732185984
81-281	4.0	3258.5816535568233	10.0	2450.295999864428	23.717227452518355
82-282	4.0	3281.5206639350304	10.0	2480.8504749752838	23.78249573342405
83-283	4.0	3306.948841509386	10.0	2563.6746206312237	23.786331716265565
84-284	4.0	3320.9385737578186	10.0	2669.315704454249	23.81869159354846
85-285	4.0	3325.6270598866604	10.0	2830.3851196555734	24.017895455584267
86-286	4.0	3315.161102782863	10.0	3010.9411161873754	23.883103469105723
87-287	4.0	3272.4942729361246	10.0	3227.749847780576	23.679805406415095
88-288	10.0	3318.8666459740916	4.0	3242.8404288634397	23.618300345452877
89-289	4.0	3306.1855201889443	10.0	3226.262002434565	23.63578496201776
90-290	4.0	3302.6570079257976	10.0	3247.636683772343	23.58800504334821
91-291	10.0	3276.625128188809	4.0	3184.006147330883	24.06714502787524
92-292	10.0	3218.725224533019	4.0	3035.088005377805	24.00705174786066
93-293	10.0	3102.3541200954005	4.0	2900.011688359959	23.766502970585563
94-294	10.0	3093.2960423957247	4.0	2886.168575392375	23.72569360501032
95-295	10.0	3017.138892321581	4.0	2816.2878646976415	23.838451191143523
96-296	10.0	2728.38796984414	5.0	2699.2139329591396	24.35245108635597
97-297	15.0	2698.5160954320622	5.0	2617.4309988487307	24.038979605146213
98-298	15.0	2702.2396369541366	5.0	2553.0159480162934	23.755507661500804
99-299	15.0	2705.4143352025235	5.0	2518.6020810176556	24.03773569913137
100-300	15.0	2552.7800071144557	5.0	2410.603976443333	25.14229246856962
101-301	15.0	2395.3827934006026	5.0	2328.3590968051153	25.07989049686596
102-302	5.0	2215.5085308597786	15.0	2205.945892047488	25.224880556847303
103-303	10.0	2287.8459357682036	30.0	2128.7448046505506	25.369733314400904
104-304	10.0	2384.238350129093	33.0	2221.8030880379583	25.518247467653765
105-305	10.0	2635.005221837676	33.0	2101.5374361540207	25.1483130785051
106-306	10.0	2716.2329619408356	30.0	2041.701400513387	25.119125258187918
107-307	10.0	2626.2456796132824	33.0	2083.2645217570084	25.15762226552941
108-308	10.0	2655.0489552367644	33.0	2050.4619709225276	25.101280444345445
109-309	10.0	2701.954807227993	33.0	2156.5218296640696	25.224089065868025
