Frequencies for trace parameter:	HRAng
Analyzed image:	\Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725_f.tif

t [frame]	Primary freq.	Amplitude of primary freq. peak in FFT	Secondary freq.	Amplitude of secondary freq. peak in FFT	COM freq.
32-232	16.0	3224.5198839331006	10.0	1745.6874123436712	25.9329165744699
33-233	16.0	3130.2671462796434	23.0	1706.3638306263626	25.98124960222457
34-234	16.0	2951.5000054843076	23.0	1924.5728482724514	25.968334835131394
35-235	16.0	2721.243768006916	23.0	2089.115033677975	26.684114236693063
36-236	16.0	2509.95212660466	23.0	2124.0029400703747	26.827699670646812
37-237	16.0	2391.6806712233715	23.0	2026.320148035473	26.58712933283323
38-238	16.0	2362.9669138408854	23.0	1835.7724349486923	26.676507476997973
39-239	16.0	2472.8891813005084	23.0	1594.1585713069733	27.56731439888513
40-240	16.0	2736.9692635210636	23.0	1536.9797451161262	26.25271720503177
41-241	16.0	2831.502393365477	23.0	1569.9907333112772	25.799995966471965
42-242	16.0	2870.916864373285	23.0	1593.4859419251395	25.70715764535128
43-243	16.0	2846.295087977712	23.0	1540.5918678665514	25.640270633299682
44-244	16.0	2858.514574223486	23.0	1588.1980633255323	25.801016318486603
45-245	16.0	2811.36649344404	23.0	1588.3162310918156	26.072259426869746
46-246	16.0	2712.82151400396	23.0	1498.3853199085559	25.916540777344952
47-247	16.0	2394.3839604263662	13.0	1559.8370025294535	26.162363192186344
48-248	16.0	2191.8485815952363	13.0	1791.554210591393	24.557073952057916
49-249	16.0	2171.7565193474948	13.0	1757.0459271856673	24.53268001478059
50-250	16.0	2166.162132056125	13.0	1815.4313629882404	24.13468009678314
51-251	16.0	2133.826429078929	13.0	1808.4389121358115	24.072917759497376
52-252	16.0	2058.491532387285	13.0	1833.3944014108222	23.227901587249605
53-253	16.0	2135.096849963583	13.0	1819.8884104758652	24.093982177024238
54-254	16.0	2302.6010663874486	13.0	1732.605890562967	23.656225650955488
55-255	16.0	2475.4625035060476	18.0	1498.858529727033	24.054754018357663
56-256	16.0	2527.109123755237	18.0	1686.650835884604	24.14274674995595
57-257	16.0	2550.587371262403	18.0	1816.0411598315688	25.249581482052264
58-258	16.0	2426.9367976274048	18.0	1860.8982281382825	24.843614037397472
59-259	16.0	2305.0927260034186	18.0	1838.0768247264607	25.46289496361445
60-260	16.0	2211.7272684071354	18.0	1811.4114448864837	25.992492682310015
61-261	16.0	1938.8892501536766	18.0	1551.6623154146355	25.551124525687307
62-262	16.0	1875.8926582307793	18.0	1435.753595959027	24.531446759133306
63-263	16.0	1910.1091425688005	18.0	1499.3433052669031	24.64686711549206
64-264	16.0	1899.1953795867282	18.0	1502.0160510367004	24.54286796671955
65-265	16.0	1905.3181815731155	18.0	1497.8100935877333	24.55835655668855
66-266	16.0	1933.3732112348844	18.0	1512.388259008458	24.5200763179822
67-267	16.0	1943.6337752847696	18.0	1531.0548178943263	24.618511377432746
68-268	16.0	1923.5030943610639	18.0	1518.1699649999605	24.570551187870834
69-269	16.0	1919.745458743736	18.0	1459.6618072828526	23.3998677387007
70-270	16.0	1928.6472768580675	18.0	1489.7551422601423	24.618681519940697
71-271	16.0	1784.587368594279	18.0	1405.3899746752306	25.35043434952537
72-272	16.0	1638.732112280954	18.0	1285.3878160898932	25.130931371901873
73-273	16.0	1462.0407396720295	18.0	1119.263712958058	25.749559279449496
74-274	16.0	1205.5780766398957	2.0	997.2925327697872	25.544899028198557
75-275	16.0	1162.3410141965157	13.0	988.5674505983667	24.494453013463552
76-276	16.0	1167.9144845528283	13.0	973.500552185966	24.4895565608575
77-277	16.0	1127.049003208741	2.0	986.3683643378865	24.527806450763133
78-278	2.0	1074.0181318881412	16.0	992.2556088213217	24.814225264939942
79-279	2.0	1114.8325188359188	16.0	928.1870821743806	24.937151802708996
80-280	2.0	1060.9225803267507	16.0	1003.9663188720983	24.38213645817267
81-281	2.0	1069.701935020906	16.0	1004.9712368841592	24.47324496127172
82-282	2.0	1136.5374849659909	16.0	1032.0974085184546	23.364434506056305
83-283	2.0	1048.6694986004834	16.0	991.7955312680476	25.429415334322535
84-284	22.0	920.0899639030775	2.0	820.4038439463743	24.243085746278116
85-285	22.0	903.6786191401407	2.0	727.14676054887	28.62876644983893
86-286	22.0	898.4585597988338	2.0	721.2243120843231	28.636665212718622
87-287	22.0	845.8320101722818	11.0	695.2161699130841	28.563505763499155
88-288	22.0	808.2427513749597	11.0	715.8689565815029	28.78522632468205
89-289	22.0	797.2827465106906	11.0	750.5374861030606	28.538293239945205
90-290	22.0	798.4599342857101	11.0	721.5905208301888	28.656873776796036
91-291	22.0	746.6217821598435	2.0	717.322039065972	28.488146787100376
92-292	22.0	732.4924912693141	2.0	730.5738273709111	28.424213841014783
93-293	22.0	735.0898564391514	2.0	720.817760312718	28.452302172420847
94-294	22.0	738.396447899003	2.0	712.2782410103011	28.59383837165375
95-295	22.0	747.0902145326729	2.0	714.0091826966891	28.690669257352294
96-296	22.0	804.5453026788581	2.0	775.79910882746	23.39079017177192
97-297	22.0	738.2800001662091	2.0	733.1588706179501	24.38764412273154
98-298	17.0	676.1371470560284	22.0	660.0770710479428	29.063451803530516
99-299	17.0	711.4501393233442	2.0	629.8629292355317	24.847634976887022
100-300	22.0	700.9556993012036	17.0	682.3718881549962	30.31856287739881
101-301	22.0	788.4990304504638	12.0	671.7702505979867	28.973100387374448
102-302	22.0	723.1130805029866	17.0	693.3972319122807	30.300561912576228
103-303	22.0	724.4325769801333	17.0	708.8968944347382	29.757278498786544
104-304	22.0	758.8506728109602	17.0	704.7892942433326	29.602658918992997
105-305	22.0	753.9853706248051	17.0	714.3273935602945	29.47903874160486
106-306	22.0	777.8331360056699	17.0	707.6734173106054	29.66791270731962
107-307	22.0	770.0417212467967	17.0	692.9032138366363	29.619520528110566
108-308	22.0	783.7071456631843	17.0	704.4136078278896	29.672725808033327
109-309	22.0	795.7995760143176	17.0	713.9890442933374	29.592621189839257
110-310	22.0	774.8204171632331	17.0	699.7462121518854	29.556534103296983
111-311	22.0	764.7404987657917	17.0	697.5241660700596	29.574043990914998
112-312	22.0	760.3346632462997	17.0	689.6386440265464	29.648647946785026
113-313	22.0	757.9990015971744	17.0	694.2912270431666	29.700430899498475
114-314	22.0	771.2642526439996	17.0	706.0260349384022	29.48402990068095
115-315	22.0	714.5650578524336	17.0	646.4079391221322	29.834891177031214
116-316	22.0	706.9264121736749	14.0	649.6684126187806	29.919688283194954
117-317	22.0	734.3243849387147	14.0	657.6359503283086	29.82351030953861
118-318	22.0	733.5688565130594	14.0	655.7453626749599	29.841934865196436
119-319	22.0	690.7242568893339	14.0	681.4124068198958	29.66669482088761
120-320	14.0	697.9082659198252	22.0	685.1382924490317	29.51712516480602
121-321	14.0	763.1003910914492	22.0	746.7602412560282	24.287888263769652
122-322	22.0	751.6205442071537	14.0	713.619181466416	24.19443236091568
123-323	17.0	616.930116343249	22.0	610.4874640297716	30.001825332232
124-324	17.0	601.4523568326902	14.0	585.5766113277675	29.927384014054855
125-325	17.0	598.7885874321992	14.0	591.9286110566858	30.037395746673972
126-326	17.0	633.8013706532383	12.0	613.9207450319457	29.82537755669155
127-327	17.0	635.5091323399906	12.0	619.3303865566617	29.81074455170947
128-328	17.0	611.0626847298471	12.0	601.8685406449562	29.81261689198997
129-329	17.0	619.6062686060687	14.0	612.7380335757271	29.989523540050882
130-330	17.0	624.6230909613871	12.0	595.4298278432009	30.109981293750987
131-331	22.0	621.4910935698707	12.0	595.5648534227133	29.64585264500555
132-332	22.0	631.1832021813703	12.0	584.0068329663758	29.63592174267464
133-333	12.0	604.7090436095341	17.0	601.8933090297899	29.689554759770193
134-334	12.0	605.6645833889299	22.0	601.8536591871438	29.792737625682385
135-335	22.0	602.5463779412506	12.0	597.9949515076347	29.74966058246741
136-336	17.0	606.8105159147055	14.0	597.875950584878	29.727959368449373
137-337	17.0	646.6011769693449	14.0	615.5119087247319	29.127922482231494
138-338	17.0	619.9316290135937	14.0	611.3176770335706	29.068499092321648
139-339	17.0	635.3060341912023	14.0	608.6434011898842	29.00767394769463
140-340	17.0	635.0714498486005	14.0	617.1424253870243	28.95105175148844
141-341	17.0	634.8113619362689	14.0	622.8451678029194	28.96363077256824
142-342	17.0	646.3331450748366	14.0	635.5755656487946	28.81583333544925
143-343	17.0	615.2207375871898	14.0	604.6850103420047	28.868318934583613
144-344	12.0	683.1256459607488	34.0	545.2171951587115	31.189949549275624
145-345	12.0	728.253526867116	15.0	572.7085183144434	24.287323693679593
146-346	12.0	685.6915302981109	14.0	564.3597276378223	28.812725839584502
147-347	12.0	685.1060673444824	14.0	574.5180359220161	28.798063493674444
148-348	12.0	682.526405236819	14.0	556.9713455830959	28.83469648092206
149-349	12.0	716.0161096902104	15.0	572.4751398847933	28.713608632680163
150-350	12.0	720.1607426957617	15.0	575.6845832401165	28.894413529419666
151-351	12.0	669.8141484828031	15.0	529.5687456021038	28.883527259034004
152-352	12.0	667.9898884694599	15.0	530.3713298227419	28.71079340331822
153-353	12.0	674.5367539310424	15.0	531.6660099445904	28.680398099052738
154-354	12.0	648.6779273404434	15.0	537.1308368367125	29.034144285005272
155-355	12.0	635.606335611042	15.0	562.1057868670825	28.865319128161808
156-356	12.0	636.2717627700886	15.0	579.5763479127305	28.778490282811163
157-357	12.0	653.9276665777375	15.0	603.5735203204506	28.823422508243894
158-358	12.0	659.5350994178478	15.0	597.0257071732458	28.517891297256234
159-359	12.0	616.0996898322485	15.0	576.2435122892017	28.418598763655137
160-360	12.0	609.2778051435491	15.0	567.3679769328129	28.45268323789159
161-361	15.0	586.4378993781293	12.0	573.6650317102809	28.209280315181548
162-362	15.0	593.3270235217576	12.0	570.893055985677	28.142344067441755
163-363	12.0	579.2352332567588	15.0	574.3827557809076	28.42229896029712
164-364	12.0	578.7445412966379	15.0	537.7929310690628	28.525141137314225
165-365	12.0	573.1440958623862	14.0	534.8036830260079	28.611433274617497
166-366	12.0	576.9426800909201	14.0	543.8650980994969	28.934274587696617
167-367	14.0	557.6496060943349	12.0	535.5139230306894	28.911176621321882
168-368	14.0	549.0534705816033	12.0	529.4524080105125	28.957313388084106
169-369	14.0	562.7089434553153	12.0	552.3947570149766	28.963287025220225
170-370	14.0	556.1269909982954	12.0	541.3404429294337	28.87356770136072
171-371	15.0	544.7745108220157	12.0	532.3495906459493	28.77819548480171
172-372	15.0	542.2294650847163	12.0	534.5237242355388	28.871527585017784
173-373	14.0	543.0061811570827	12.0	534.2068654917655	28.81343228969685
174-374	14.0	543.0061811570827	12.0	534.2068654917655	28.813432289696852
175-375	14.0	543.0061811570827	12.0	534.2068654917656	28.81343228969685
176-376	14.0	557.5060833761383	12.0	555.83990211866	28.93151740059708
177-377	14.0	544.5785037759285	12.0	535.8103599055889	28.79217085972891
178-378	12.0	589.6807775834886	14.0	587.8410911780493	29.751301922167187
179-379	14.0	625.5223667064602	12.0	591.1881141647715	29.611866503483817
180-380	15.0	538.9449798669892	12.0	521.4248305565164	25.32387166060714
181-381	15.0	568.4818872743358	12.0	511.1594957799463	25.18705342152694
182-382	15.0	547.004071240841	12.0	523.0371348181532	25.247446386415895
183-383	15.0	579.6910618915385	12.0	497.86536427911983	25.23800445064699
184-384	15.0	569.377395711164	12.0	506.6377553414264	25.17197390008966
185-385	14.0	564.6575766561366	12.0	554.8471615583393	25.161732233719405
186-386	14.0	579.0758467408538	12.0	568.8877556571988	24.957367765063797
187-387	14.0	579.0758467408538	12.0	568.8877556571987	24.957367765063804
188-388	12.0	524.4051871621334	14.0	523.425819076498	28.245726054217176
189-389	14.0	561.0969033026352	12.0	558.1991917964858	27.734713287747937
190-390	14.0	580.5011887508697	12.0	570.2134190127188	24.953792666731985
191-391	14.0	565.0315743300621	12.0	555.882030374053	24.96955230988016
192-392	14.0	558.3504623908658	12.0	549.2623786495734	24.99142325040095
193-393	14.0	585.3110989551459	12.0	576.591858604396	24.842513443011637
194-394	14.0	573.2523683898014	12.0	564.6279345883412	24.99846404418227
195-395	14.0	569.5450240404892	12.0	559.9626003464388	24.963253032638264
196-396	14.0	552.613449380146	12.0	527.1636356274768	25.149901632733087
197-397	14.0	558.2160250579363	12.0	515.3031877829915	24.656486158795083
198-398	14.0	534.8802051776518	12.0	505.8811797092913	24.71318248375602
199-399	14.0	525.2902371454081	12.0	501.42773254554356	24.718820022308726
200-400	15.0	479.477147664601	12.0	455.8506678949977	24.574507061180935

Datafile was generated by 'SpermQ_', (© 2016 - 2021: Jan N Hansen (jan.hansen@uni-bonn.de.de) & Jan F Jikeli (jan.jikeli@caesar.de))
The plug-in 'SpermQ_' is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
Skeleton results are generated using the ImageJ plug-ins 'skeletonize' and 'analyze skeleton' by: Ignacio Arganda-Carreras, Rodrigo Fernandez-Gonzalez, Arrate Munoz-Barrutia, Carlos Ortiz-De-Solorzano, '3D reconstruction of histological sections: Application to mammary gland tissue', Microscopy Research and Technique, Volume 73, Issue 11, pages 1019-1029, October 2010.
Plug-in version:	v0.2.2
