Frequencies for trace parameter:	HRMaxPos
Analyzed image:	\Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725_f.tif

t [frame]	Primary freq.	Amplitude of primary freq. peak in FFT	Secondary freq.	Amplitude of secondary freq. peak in FFT	COM freq.
0-200	23.0	65.50446995769391	29.0	52.05024655138494	37.232063561168104
1-201	23.0	68.88765006900888	19.0	53.968109746997904	37.291554927014644
2-202	23.0	69.79570528293641	19.0	54.91120423874159	37.19402526669815
3-203	23.0	67.1800570997148	19.0	51.359943403695745	37.01167943848692
4-204	23.0	66.21547278087303	19.0	50.35977862946167	37.142100724993526
5-205	23.0	63.837799958706455	19.0	51.99852077403707	37.04277237925545
6-206	23.0	61.44178787691511	19.0	52.026960016655565	36.78315368293406
7-207	23.0	60.759884885758424	19.0	53.66905326002908	36.79614039532224
8-208	23.0	61.1818319996975	19.0	54.2282582697437	36.73399096842972
9-209	2.0	94.3814853189424	23.0	58.26557752140045	36.66670025413317
10-210	2.0	98.372001641771	23.0	62.795155293552064	37.20067067512624
11-211	2.0	99.07882311717002	23.0	65.44574027307061	36.593846796735335
12-212	2.0	102.13365397511562	23.0	73.07258968628243	36.70212690200369
13-213	2.0	102.45271493463925	23.0	71.33626548787437	37.753332257270706
14-214	2.0	102.42810882817324	23.0	70.05267400798678	37.41769743116419
15-215	2.0	103.1405425195893	23.0	67.52583900397052	37.533800268254055
16-216	2.0	104.00029457557595	7.0	68.41629803015721	37.74674798997812
17-217	2.0	103.86479204918679	7.0	67.939329110067	37.76238219194777
18-218	2.0	103.29754647503688	7.0	67.99369776838111	37.44240307677806
19-219	2.0	103.31145657027571	7.0	67.92607881770545	37.4533562663416
20-220	2.0	102.92821672298676	23.0	72.84348194282381	38.19318705524573
21-221	2.0	102.64332076142158	23.0	77.5167234482824	38.42371666561449
22-222	2.0	102.54059574324995	23.0	76.74791572276733	38.495209186965
23-223	2.0	102.24538443905692	23.0	75.28571417396938	38.50680741507317
24-224	2.0	101.47575559531818	23.0	69.72616855347235	39.2173787742613
25-225	2.0	101.04799245024714	23.0	68.08875044990886	38.93734110954628
26-226	2.0	100.67355180751152	23.0	67.26501727938344	39.229968145933995
27-227	2.0	99.6799685061574	23.0	68.57135807544623	39.37551988374495
28-228	2.0	99.1348740624904	23.0	70.58541946810742	39.67035625665894
29-229	2.0	98.99920328722723	23.0	71.33832231504317	39.7775983965161
30-230	2.0	98.0093449309874	23.0	73.45750289403277	39.959048926918406
31-231	2.0	96.75461219091194	23.0	74.33939653083334	40.41630970118085
32-232	2.0	95.61700422431174	23.0	72.37821605827511	40.46535296413346
33-233	2.0	94.41859946917563	23.0	69.59852648862844	40.900597788618406
34-234	2.0	92.72078712816189	23.0	66.85221112211343	40.88935374569561
35-235	2.0	92.56548983764495	23.0	66.95900107211243	40.8743071852625
36-236	2.0	92.1626687299777	23.0	66.67325075479296	40.907841024565286
37-237	2.0	88.54377384577612	23.0	72.12488188572415	41.1470221984644
38-238	2.0	86.57395309297516	23.0	74.50716203531843	41.32389983699237
39-239	2.0	88.37921504607816	23.0	71.47789314358883	41.1065032350996
40-240	2.0	85.44671846859606	23.0	72.0761293873933	41.1031852653163
41-241	2.0	81.8493658302641	23.0	67.37587800770453	41.614257131175
42-242	2.0	85.00255791178897	23.0	71.36863552948265	41.22637855056649
43-243	2.0	84.02170699726983	23.0	69.28993059061669	41.305992311075194
44-244	2.0	81.1463508302476	23.0	68.00813842592251	41.301213697931786
45-245	2.0	84.71830102356445	23.0	65.09299448555004	41.19223376124453
46-246	2.0	82.26811019425409	23.0	67.81717488303259	41.36746763431293
47-247	2.0	81.20078142180753	23.0	68.6488472919137	41.75534569040166
48-248	2.0	82.1785810354879	23.0	67.17664711528037	41.43554139415189
49-249	2.0	79.5366368837704	23.0	65.80124351209547	41.57115086332828
50-250	2.0	74.19080933092347	23.0	60.858398900770275	41.935275278466904
51-251	2.0	71.98151003126377	22.0	61.75901156278806	41.66614474178596
52-252	2.0	73.59841698311776	23.0	60.61586869847043	41.75842948384986
53-253	2.0	72.22440198827896	23.0	61.037996677415826	41.60774913183584
54-254	2.0	69.19992972756309	23.0	63.27742471571538	41.58004304970016
55-255	23.0	67.03103056388797	2.0	65.35989673737697	41.53553288291579
56-256	2.0	66.18580451631178	23.0	66.03015459660385	41.574909475518886
57-257	2.0	72.42530203295877	23.0	64.36538819375052	41.621737561760995
